"memory","disk","swap","cpu"
3.69%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.99%,15%,0.0248%,0.00%
4.14%,15%,0.0248%,0.00%
4.19%,15%,0.0248%,0.00%
4.34%,15%,0.0248%,2.00%
4.49%,15%,0.0248%,2.00%
4.59%,15%,0.0248%,2.00%
4.59%,15%,0.0248%,5.00%
4.79%,15%,0.0248%,5.00%
4.74%,15%,0.0248%,5.00%
4.74%,15%,0.0248%,5.00%
4.79%,15%,0.0248%,5.00%
4.84%,15%,0.0248%,5.00%
4.69%,15%,0.0248%,5.00%
4.84%,15%,0.0248%,5.00%
4.94%,15%,0.0248%,5.00%
4.89%,15%,0.0248%,5.00%
4.79%,15%,0.0248%,5.00%
4.79%,15%,0.0248%,5.00%
4.94%,15%,0.0248%,6.00%
4.79%,15%,0.0248%,6.00%
5.04%,15%,0.0248%,6.00%
5.04%,15%,0.0248%,6.00%
4.94%,15%,0.0248%,5.00%
4.24%,15%,0.0248%,5.00%
3.94%,15%,0.0248%,5.00%
3.84%,15%,0.0248%,5.00%
3.79%,15%,0.0248%,5.00%
3.79%,15%,0.0248%,5.00%
3.84%,15%,0.0248%,5.00%
3.79%,15%,0.0248%,5.00%
3.79%,15%,0.0248%,5.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,4.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,3.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,2.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,1.00%
3.79%,15%,0.0248%,1.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.74%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
3.79%,15%,0.0248%,0.00%
