"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,51:07,43:05,11282,1.2%,0.0%,971378,823150
1,51:09,43:05,11284,1.2%,0.0%,976406,827403
1,51:14,43:05,11289,1.8%,66.5%,992193,840756
1,51:21,43:05,11296,2.3%,83.2%,1011805,857345
1,51:30,43:05,11305,2.7%,77.0%,1040942,881995
1,2.7%,73.4%
1,53:49,43:05,11443,1.2%,0.5%,1066198,903346
1,53:50,43:05,11445,1.2%,0.0%,1066200,903348
1,53:51,43:05,11446,1.2%,0.0%,1066203,903351
1,53:52,43:05,11447,1.2%,0.0%,1066206,903354
1,53:53,43:05,11448,1.2%,0.0%,1066209,903357
1,53:54,43:05,11449,1.2%,0.5%,1066212,903360
1,53:55,43:05,11450,1.2%,0.0%,1066216,903364
1,53:57,43:05,11451,1.2%,0.0%,1066219,903367
1,53:58,43:05,11452,1.2%,0.5%,1066222,903370
1,53:59,43:05,11454,1.2%,0.0%,1066225,903373
1,54:00,43:05,11455,1.2%,0.5%,1066228,903376
1,54:01,43:05,11456,1.2%,0.0%,1066231,903379
1,54:02,43:05,11457,1.2%,0.0%,1066234,903382
1,54:03,43:05,11458,1.2%,0.0%,1066237,903385
1,54:04,43:05,11459,1.2%,0.0%,1066240,903388
1,54:05,43:05,11460,1.2%,0.5%,1066243,903391
1,54:07,43:05,11461,1.2%,0.5%,1066246,903395
1,54:08,43:05,11462,1.2%,0.5%,1066249,903398
1,54:09,43:05,11463,1.2%,0.0%,1066252,903401
1,54:10,43:05,11465,1.2%,0.0%,1066255,903404
1,54:11,43:05,11466,1.2%,0.5%,1066259,903407
1,54:12,43:05,11467,1.2%,0.0%,1066262,903410
1,54:13,43:05,11468,1.2%,0.5%,1066265,903414
1,54:14,43:05,11469,1.2%,0.0%,1066268,903417
1,54:15,43:05,11470,1.2%,0.0%,1066271,903420
1,54:16,43:05,11471,1.2%,0.0%,1066274,903423
1,54:17,43:05,11472,1.2%,0.5%,1066277,903426
1,54:18,43:05,11473,1.2%,0.0%,1066280,903429
1,54:20,43:05,11474,1.2%,0.5%,1066283,903432
1,54:21,43:05,11475,1.2%,0.0%,1066286,903435
1,54:22,43:05,11476,1.2%,0.0%,1066289,903438
1,54:23,43:05,11478,1.2%,0.0%,1066292,903441
1,54:24,43:05,11479,1.2%,0.0%,1066295,903444
1,54:25,43:05,11480,1.2%,0.0%,1066298,903447
1,54:26,43:05,11481,1.2%,0.0%,1066301,903451
1,54:27,43:05,11482,1.2%,0.0%,1066304,903454
1,54:28,43:05,11483,1.2%,0.0%,1066308,903457
1,54:29,43:05,11484,1.2%,0.0%,1066311,903460
1,54:30,43:05,11485,1.2%,0.0%,1066314,903463
1,54:32,43:05,11486,1.2%,0.0%,1066317,903467
1,54:33,43:05,11487,1.2%,1.0%,1066320,903470
1,54:34,43:05,11489,1.2%,0.0%,1066323,903473
1,54:35,43:05,11490,1.2%,0.0%,1066326,903476
1,54:36,43:05,11491,1.2%,0.5%,1066329,903479
1,54:37,43:05,11492,1.2%,0.5%,1066332,903482
1,54:38,43:05,11493,1.2%,0.0%,1066335,903485
1,54:39,43:05,11494,0.0%,0.0%,1066338,903488
1,54:40,43:05,11495,0.0%,0.0%,1066341,903491
1,54:42,43:05,11496,1.2%,0.0%,1066344,903494
1,54:43,43:05,11497,1.2%,0.5%,1066348,903498
1,54:44,43:05,11499,1.2%,0.0%,1066351,903501
1,54:45,43:05,11500,1.2%,0.0%,1066354,903504
1,54:46,43:05,11501,1.2%,0.0%,1066357,903507
1,54:47,43:05,11502,1.2%,0.5%,1066360,903510
1,54:48,43:05,11503,1.2%,0.0%,1066363,903513
1,54:49,43:05,11504,1.2%,0.0%,1066366,903516
1,54:50,43:05,11505,1.2%,0.5%,1066369,903520
1,54:51,43:05,11506,1.2%,0.0%,1066372,903523
1,54:53,43:05,11507,1.2%,0.0%,1066375,903526
1,54:54,43:05,11508,1.2%,0.0%,1066378,903529
1,54:55,43:05,11510,1.2%,0.5%,1066381,903532
1,54:56,43:05,11511,1.2%,0.0%,1066384,903535
1,54:57,43:05,11512,1.2%,1.0%,1066387,903538
1,54:58,43:05,11513,1.2%,0.0%,1066391,903542
1,54:59,43:05,11514,1.2%,0.0%,1066394,903545
1,55:00,43:05,11515,1.2%,0.5%,1066397,903548
1,55:01,43:05,11516,0.0%,0.0%,1066400,903551
1,55:02,43:05,11517,1.2%,0.0%,1066403,903554
1,55:03,43:05,11518,1.2%,0.0%,1066406,903557
1,55:04,43:05,11519,1.2%,0.0%,1066409,903560
1,55:06,43:05,11520,1.2%,0.0%,1066412,903563
1,55:07,43:05,11521,1.2%,0.0%,1066415,903566
1,55:08,43:05,11522,1.2%,0.5%,1066418,903569
1,55:09,43:05,11524,1.2%,0.0%,1066421,903572
1,55:10,43:05,11525,1.2%,0.0%,1066424,903576
1,55:11,43:05,11526,1.2%,0.0%,1066427,903579
1,55:12,43:05,11527,1.2%,0.0%,1066430,903582
1,55:13,43:05,11528,1.2%,0.0%,1066433,903585
1,55:14,43:05,11529,1.2%,0.5%,1066436,903588
1,55:15,43:05,11530,1.2%,0.5%,1066439,903591
1,55:16,43:05,11531,1.2%,0.0%,1066443,903595
1,55:18,43:05,11532,1.2%,0.5%,1066446,903598
1,55:19,43:05,11533,1.2%,0.5%,1066449,903601
1,55:20,43:05,11534,1.2%,0.0%,1066452,903604
1,55:21,43:05,11536,1.2%,0.0%,1066455,903607
1,55:22,43:05,11537,1.2%,0.0%,1066458,903610
1,55:23,43:05,11538,1.2%,0.0%,1066461,903613
1,55:24,43:05,11539,1.2%,0.0%,1066464,903616
1,55:25,43:05,11540,1.2%,0.5%,1066467,903619
1,55:26,43:05,11541,1.2%,0.0%,1066470,903622
1,55:27,43:05,11542,1.2%,0.5%,1066473,903625
1,55:28,43:05,11543,1.2%,0.0%,1066476,903629
1,55:29,43:05,11544,1.2%,0.0%,1066479,903632
1,55:31,43:05,11545,1.2%,0.5%,1066482,903635
1,55:32,43:05,11546,1.2%,0.0%,1066485,903638
1,55:33,43:05,11547,1.2%,0.0%,1066488,903641
1,55:34,43:05,11548,1.2%,0.0%,1066491,903644
1,55:35,43:05,11550,1.2%,0.0%,1066495,903648
1,55:36,43:05,11551,1.2%,0.0%,1066498,903651
1,55:37,43:05,11552,1.2%,0.0%,1066501,903654
1,55:38,43:05,11553,1.2%,0.5%,1066504,903657
1,55:39,43:05,11554,1.2%,0.0%,1066507,903660
1,55:40,43:05,11555,1.2%,0.5%,1066510,903663
