 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.345 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=0.628 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=0.553 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.242 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.281 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.232 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.601 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.673 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.380 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.465 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.299 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.668 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.338 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.343 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=1.36 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.363 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.305 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.452 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.461 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.293 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.625 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.645 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.255 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.368 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.608 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.627 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.261 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.294 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.695 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.695 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.591 ms
