"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,36:02,43:05,10377,1.2%,0.0%,970641,822445
1,36:04,43:05,10379,1.2%,0.0%,970645,822449
1,36:06,43:05,10381,1.2%,0.0%,970648,822452
1,36:08,43:05,10382,1.2%,0.5%,970651,822455
1,36:09,43:05,10384,1.2%,0.0%,970655,822459
1,36:11,43:05,10386,1.2%,0.0%,970658,822462
1,36:13,43:05,10388,1.2%,0.0%,970662,822465
1,36:15,43:05,10390,1.2%,0.0%,970666,822470
1,36:17,43:05,10392,1.2%,0.0%,970670,822473
1,36:19,43:05,10393,1.2%,0.0%,970673,822476
1,36:20,43:05,10395,1.2%,0.5%,970677,822480
1,36:22,43:05,10397,1.2%,0.0%,970680,822483
1,36:24,43:05,10399,1.2%,0.0%,970684,822487
1,36:26,43:05,10401,1.2%,0.5%,970687,822490
1,36:28,43:05,10402,1.2%,0.0%,970691,822493
1,36:30,43:05,10404,1.2%,0.0%,970694,822497
1,36:31,43:05,10406,1.2%,0.0%,970698,822500
1,36:33,43:05,10408,1.2%,0.0%,970701,822503
1,36:35,43:05,10410,1.2%,0.0%,970705,822507
1,36:37,43:05,10412,1.2%,0.5%,970708,822510
1,36:39,43:05,10414,1.2%,0.0%,970712,822514
1,36:40,43:05,10415,1.2%,0.0%,970715,822517
1,36:42,43:05,10417,1.2%,0.0%,970719,822520
1,36:44,43:05,10419,1.2%,0.0%,970723,822524
1,36:46,43:05,10421,1.2%,1.0%,970726,822527
1,36:48,43:05,10423,1.2%,0.0%,970730,822531
1,36:50,43:05,10424,1.2%,0.0%,970733,822534
1,36:52,43:05,10426,1.2%,0.0%,970737,822538
1,36:53,43:05,10428,1.2%,0.0%,970740,822541
1,36:55,43:05,10430,1.2%,0.5%,970744,822544
1,36:57,43:05,10432,1.2%,0.0%,970747,822547
1,36:59,43:05,10433,1.2%,0.0%,970750,822550
1,37:01,43:05,10435,1.2%,0.0%,970754,822554
1,37:02,43:05,10437,1.2%,0.5%,970758,822558
1,37:04,43:05,10439,1.2%,0.5%,970761,822561
