 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.381 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=86.9 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=81.1 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=88.6 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=29.7 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.930 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=1.31 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.512 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.396 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.675 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.398 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=3.27 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.571 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.441 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.293 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.788 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.508 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.423 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.401 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.394 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.562 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.428 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.311 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.501 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.380 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.547 ms
