"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,44:33,43:05,3687,0.0%,1m,436,420
1,44:34,43:05,3689,0.5%,1m,438,422
1,44:36,43:05,3691,0.0%,1m,441,424
1,44:38,43:05,3693,0.0%,1m,443,426
1,44:40,43:05,3694,0.0%,1m,446,428
1,44:41,43:05,3696,0.0%,1m,448,430
1,44:43,43:05,3698,0.0%,1m,451,433
1,44:45,43:05,3700,0.0%,1m,453,434
1,44:47,43:05,3702,0.0%,1m,456,437
1,44:49,43:05,3703,0.0%,1m,458,439
1,44:50,43:05,3705,0.0%,1m,461,441
1,44:52,43:05,3707,0.0%,1m,463,443
1,44:54,43:05,3709,0.5%,1m,466,445
1,44:56,43:05,3711,0.0%,1m,468,447
1,44:58,43:05,3712,0.0%,1m,471,449
1,44:59,43:05,3714,0.0%,1m,473,451
1,45:01,43:05,3716,0.0%,1m,476,453
1,45:03,43:05,3718,0.0%,1m,478,455
1,45:05,43:05,3719,0.0%,2m,481,458
1,45:07,43:05,3721,0.5%,2m,483,460
1,45:08,43:05,3723,0.0%,2m,486,462
1,45:10,43:05,3725,0.0%,2m,488,464
1,45:12,43:05,3727,0.0%,2m,491,466
1,45:14,43:05,3728,0.0%,2m,493,468
1,45:15,43:05,3730,0.0%,2m,496,470
1,45:17,43:05,3732,0.0%,2m,498,472
1,45:19,43:05,3734,0.0%,2m,501,474
1,45:21,43:05,3736,0.0%,2m,503,476
1,45:23,43:05,3737,0.0%,2m,506,479
1,45:24,43:05,3739,0.0%,2m,508,480
1,45:26,43:05,3741,0.5%,2m,511,483
1,45:28,43:05,3743,0.0%,2m,513,485
1,45:30,43:05,3744,0.0%,2m,516,487
1,45:31,43:05,3746,0.0%,2m,518,489
1,45:33,43:05,3748,0.0%,2m,521,491
1,45:35,43:05,3750,0.0%,2m,523,493
1,45:37,43:05,3751,0.0%,2m,526,495
1,45:39,43:05,3753,0.0%,2m,528,497
1,45:40,43:05,3755,0.0%,2m,531,500
1,45:42,43:05,3757,0.0%,2m,533,501
1,45:44,43:05,3759,0.5%,2m,536,504
1,45:46,43:05,3760,0.0%,2m,538,506
1,45:47,43:05,3762,0.0%,2m,541,508
1,45:49,43:05,3764,0.0%,2m,543,510
1,45:51,43:05,3766,0.0%,2m,546,512
1,45:53,43:05,3768,0.0%,2m,548,514
1,45:55,43:05,3769,0.0%,2m,551,516
1,45:56,43:05,3771,0.0%,2m,553,518
1,45:58,43:05,3773,0.5%,2m,556,521
1,46:00,43:05,3775,0.0%,2m,558,522
1,46:02,43:05,3777,0.0%,2m,561,525
1,46:04,43:05,3778,0.0%,2m,563,527
1,46:05,43:05,3780,0.0%,3m,566,529
1,46:07,43:05,3782,0.0%,3m,568,531
1,46:09,43:05,3784,0.0%,3m,571,533
1,46:11,43:05,3786,0.0%,3m,573,535
1,46:13,43:05,3787,0.5%,3m,576,537
1,46:14,43:05,3789,0.0%,3m,578,539
1,46:16,43:05,3791,0.0%,3m,581,542
1,46:18,43:05,3793,0.0%,3m,583,543
1,46:20,43:05,3795,0.0%,3m,586,546
1,46:22,43:05,3796,0.0%,3m,588,548
1,46:24,43:05,3798,0.5%,3m,591,550
1,46:25,43:05,3800,0.5%,3m,594,552
1,46:27,43:05,3802,0.5%,3m,596,554
1,46:29,43:05,3804,0.0%,3m,599,557
1,46:31,43:05,3805,0.0%,3m,601,558
1,46:33,43:05,3807,0.0%,3m,604,561
1,46:34,43:05,3809,0.0%,3m,606,563
1,46:36,43:05,3811,0.0%,3m,609,565
1,46:38,43:05,3813,0.0%,3m,611,567
1,46:40,43:05,3815,0.5%,3m,614,569
1,46:42,43:05,3816,0.0%,3m,616,571
1,46:43,43:05,3818,0.0%,3m,619,573
1,46:45,43:05,3820,0.0%,3m,621,575
1,46:47,43:05,3822,0.0%,3m,624,578
1,46:49,43:05,3823,0.0%,3m,626,579
1,46:51,43:05,3825,0.0%,3m,629,582
1,46:52,43:05,3827,0.0%,3m,631,584
1,46:54,43:05,3829,0.0%,3m,634,586
1,46:56,43:05,3831,0.0%,3m,636,588
1,46:58,43:05,3832,0.0%,3m,639,590
1,46:59,43:05,3834,0.0%,3m,641,592
1,47:01,43:05,3836,1.0%,3m,644,594
1,47:03,43:05,3838,0.0%,3m,646,596
1,47:05,43:05,3839,0.0%,4m,649,599
1,47:06,43:05,3841,0.5%,4m,651,600
1,47:08,43:05,3843,0.0%,4m,654,603
1,47:10,43:05,3845,0.0%,4m,656,605
1,47:12,43:05,3847,0.0%,4m,659,607
1,47:14,43:05,3848,0.0%,4m,661,609
1,47:15,43:05,3850,0.0%,4m,663,611
1,47:17,43:05,3852,0.0%,4m,666,613
1,47:19,43:05,3854,0.0%,4m,669,615
1,47:21,43:05,3856,0.0%,4m,671,617
1,47:23,43:05,3857,0.0%,4m,674,620
1,47:25,43:05,3859,0.0%,4m,676,621
1,47:26,43:05,3861,0.0%,4m,679,624
1,47:28,43:05,3863,0.0%,4m,681,626
1,47:30,43:05,3865,0.0%,4m,684,628
1,47:32,43:05,3866,0.0%,4m,686,630
1,47:33,43:05,3868,0.0%,4m,689,632
1,47:35,43:05,3870,0.0%,4m,691,634
1,47:37,43:05,3872,0.0%,4m,694,636
1,47:39,43:05,3874,0.0%,4m,696,638
1,47:41,43:05,3875,0.5%,4m,699,641
1,47:42,43:05,3877,0.0%,4m,701,642
1,47:44,43:05,3879,0.0%,4m,704,645
1,47:46,43:05,3881,0.5%,4m,706,647
1,47:48,43:05,3883,0.0%,4m,709,649
1,47:50,43:05,3884,0.0%,4m,711,651
1,47:51,43:05,3886,0.0%,4m,714,653
1,47:53,43:05,3888,0.0%,4m,716,655
1,47:55,43:05,3890,0.0%,4m,719,657
1,47:57,43:05,3892,0.0%,4m,721,659
1,47:59,43:05,3893,0.5%,4m,724,662
1,48:00,43:05,3895,0.5%,4m,726,663
1,48:02,43:05,3897,0.0%,4m,729,666
1,48:04,43:05,3899,0.0%,5m,731,668
1,48:06,43:05,3900,0.0%,5m,734,670
1,48:07,43:05,3902,0.0%,5m,736,672
1,48:09,43:05,3904,0.0%,5m,739,674
1,48:11,43:05,3906,0.0%,5m,741,676
1,48:13,43:05,3908,0.0%,5m,744,678
1,48:15,43:05,3909,0.0%,5m,746,680
1,48:16,43:05,3911,0.0%,5m,749,683
1,48:18,43:05,3913,0.5%,5m,751,684
1,48:20,43:05,3915,0.0%,5m,754,687
1,48:22,43:05,3917,0.0%,5m,756,689
1,48:24,43:05,3918,0.0%,5m,759,691
1,48:25,43:05,3920,0.0%,5m,761,693
1,48:27,43:05,3922,0.5%,5m,764,695
1,48:29,43:05,3924,0.0%,5m,766,697
1,48:31,43:05,3926,0.0%,5m,769,699
1,48:33,43:05,3927,0.0%,5m,771,701
1,48:34,43:05,3929,0.0%,5m,774,704
1,48:36,43:05,3931,0.0%,5m,776,705
1,48:38,43:05,3933,0.0%,5m,779,708
1,48:40,43:05,3935,0.0%,5m,781,710
1,48:42,43:05,3936,0.0%,5m,784,712
1,48:43,43:05,3938,0.0%,5m,786,714
1,48:45,43:05,3940,0.5%,5m,789,716
1,48:47,43:05,3942,0.0%,5m,791,718
1,48:49,43:05,3943,0.0%,5m,794,720
1,48:51,43:05,3945,0.0%,5m,796,722
1,48:52,43:05,3947,0.0%,5m,799,725
1,48:54,43:05,3949,0.0%,5m,801,726
1,48:56,43:05,3951,0.5%,5m,804,729
1,48:58,43:05,3953,0.0%,5m,806,731
1,49:00,43:05,3954,0.0%,5m,809,733
1,49:01,43:05,3956,0.5%,5m,811,735
1,49:03,43:05,3958,0.0%,5m,814,737
1,49:05,43:05,3960,0.0%,6m,816,739
1,49:07,43:05,3962,0.0%,6m,819,741
1,49:09,43:05,3963,0.0%,6m,821,743
1,49:10,43:05,3965,0.0%,6m,824,745
1,49:12,43:05,3967,0.0%,6m,826,747
1,49:14,43:05,3969,0.0%,6m,829,750
1,49:16,43:05,3971,0.0%,6m,831,751
1,49:18,43:05,3972,0.0%,6m,834,754
1,49:19,43:05,3974,0.0%,6m,836,756
1,49:21,43:05,3976,0.0%,6m,839,758
1,49:23,43:05,3977,0.0%,6m,841,760
1,49:24,43:05,3979,0.3%,6m,843,762
1,49:26,43:05,3981,0.0%,6m,846,764
1,49:28,43:05,3982,0.5%,6m,848,766
1,49:29,43:05,3983,0.0%,6m,850,768
