status	ctime		rtime		uptime	memoria	cpu	tacc	tkb
1	08:10:48	04:43:05	12463	1.2%	0.5%	1067377	904494	
1	08:10:50	04:43:05	12465	1.2%	0.5%	1067380	904497	
1	08:10:52	04:43:05	12467	1.2%	0.5%	1067383	904500	
1	08:10:54	04:43:05	12468	1.2%	0.0%	1067387	904503	
1	08:10:55	04:43:05	12470	1.2%	0.0%	1067390	904506	
1	08:10:57	04:43:05	12472	1.2%	0.0%	1067394	904510	
1	08:10:59	04:43:05	12474	1.2%	0.5%	1067398	904514	
1	08:11:01	04:43:05	12476	1.2%	0.5%	1067401	904517	
1	08:11:03	04:43:05	12478	1.2%	0.0%	1067405	904520	
1	08:11:05	04:43:05	12480	1.2%	0.0%	1067408	904524	
1	08:11:07	04:43:05	12481	1.2%	0.0%	1067412	904527	
1	08:11:08	04:43:05	12483	1.2%	0.0%	1067415	904530	
1	08:11:10	04:43:05	12485	1.2%	0.0%	1067419	904534	
1	08:11:12	04:43:05	12487	1.2%	0.0%	1067422	904537	
1	08:11:14	04:43:05	12489	1.2%	0.5%	1067426	904541	
1	08:11:16	04:43:05	12491	1.2%	0.0%	1067430	904544	
1	08:11:18	04:43:05	12493	1.2%	0.0%	1067433	904547	
1	08:11:20	04:43:05	12495	1.2%	0.4%	1067437	904551	
1	08:11:22	04:43:05	12496	1.2%	0.0%	1067440	904554	
1	08:11:24	04:43:05	12499	1.2%	0.0%	1067444	904558	
1	08:11:26	04:43:05	12501	1.2%	0.0%	1067447	904561	
1	08:11:28	04:43:05	12502	0.0%	0.0%	1067450	904563	
1	08:11:29	04:43:05	12504	1.2%	0.5%	1067453	904566	
1	08:11:31	04:43:05	12506	1.2%	0.0%	1067457	904570	
1	08:11:33	04:43:05	12508	1.2%	0.0%	1067460	904573	
1	08:11:35	04:43:05	12510	1.2%	0.0%	1067465	904578	
1	08:11:37	04:43:05	12512	1.2%	0.0%	1067467	904580	
1	08:11:39	04:43:05	12514	1.2%	0.5%	1067471	904583	
1	08:11:41	04:43:05	12516	1.2%	0.5%	1067475	904587	
1	08:11:43	04:43:05	12518	1.2%	0.0%	1067478	904590	
1	08:11:45	04:43:05	12519	1.2%	0.0%	1067482	904594	
1	08:11:47	04:43:05	12521	1.2%	0.5%	1067485	904597	
1	08:11:48	04:43:05	12523	1.2%	0.5%	1067489	904601	
1	08:11:50	04:43:05	12525	1.2%	0.5%	1067492	904604	
1	08:11:52	04:43:05	12527	1.2%	0.0%	1067496	904607	
1	08:11:54	04:43:05	12529	1.2%	0.5%	1067499	904610	
1	08:11:56	04:43:05	12531	1.2%	0.0%	1067503	904614	
1	08:11:58	04:43:05	12533	1.2%	0.0%	1067506	904617	
1	08:12:00	04:43:05	12535	1.2%	0.0%	1067510	904621	
1	08:12:02	04:43:05	12536	1.2%	0.0%	1067513	904624	
1	08:12:04	04:43:05	12539	1.2%	0.0%	1067517	904628	
1	08:12:06	04:43:05	12541	1.2%	0.0%	1067521	904631	
1	08:12:08	04:43:05	12542	1.2%	0.0%	1067524	904634	
1	08:12:10	04:43:05	12544	1.2%	0.0%	1067528	904638	
1	08:12:12	04:43:05	12546	1.2%	0.5%	1067531	904641	
1	08:12:13	04:43:05	12548	1.2%	0.0%	1067535	904645	
1	08:12:15	04:43:05	12550	1.2%	0.5%	1067538	904648	
1	08:12:17	04:43:05	12552	1.2%	0.3%	1067542	904651	
1	08:12:19	04:43:05	12554	1.2%	0.5%	1067545	904655	
1	08:12:21	04:43:05	12556	1.2%	0.0%	1067549	904658	
1	08:12:23	04:43:05	12557	1.2%	0.0%	1067552	904661	
1	08:12:25	04:43:05	12559	1.2%	0.0%	1067556	904665	
1	08:12:26	04:43:05	12561	1.2%	0.5%	1067559	904668	
1	08:12:28	04:43:05	12563	1.2%	0.0%	1067563	904672	
1	08:12:30	04:43:05	12565	1.2%	0.0%	1067566	904675	
1	08:12:32	04:43:05	12567	1.2%	0.0%	1067570	904678	
1	08:12:34	04:43:05	12569	1.2%	0.0%	1067573	904681	
1	08:12:36	04:43:05	12571	1.2%	0.0%	1067577	904685	
1	08:12:38	04:43:05	12572	1.2%	0.5%	1067580	904688	
1	08:12:39	04:43:05	12574	1.2%	0.0%	1067584	904692	
1	08:12:41	04:43:05	12576	1.2%	0.0%	1067587	904695	
1	08:12:43	04:43:05	12578	1.2%	0.0%	1067591	904699	
1	08:12:45	04:43:05	12580	1.2%	0.0%	1067594	904702	
1	08:12:47	04:43:05	12582	1.2%	0.0%	1067598	904705	
1	08:12:49	04:43:05	12584	1.2%	0.0%	1067601	904708	
1	08:12:51	04:43:05	12585	1.2%	0.0%	1067605	904712	
1	08:12:53	04:43:05	12587	1.2%	0.5%	1067608	904715	
1	08:12:54	04:43:05	12589	1.2%	0.0%	1067612	904719	
1	08:12:56	04:43:05	12591	1.2%	0.0%	1067615	904722	
1	08:12:58	04:43:05	12593	1.2%	0.5%	1067620	904727	
1	08:13:00	04:43:05	12595	1.2%	0.0%	1067624	904730	
1	08:13:02	04:43:05	12597	1.2%	1.0%	1067627	904734	
1	08:13:04	04:43:05	12599	1.2%	0.0%	1067631	904737	
1	08:13:06	04:43:05	12601	1.2%	0.0%	1067633	904739	
1	08:13:08	04:43:05	12603	1.2%	0.0%	1067638	904744	
1	08:13:10	04:43:05	12605	1.2%	0.0%	1067642	904748	
1	08:13:12	04:43:05	12607	1.2%	0.0%	1067645	904751	
1	08:13:14	04:43:05	12609	1.2%	0.0%	1067649	904754	
1	08:13:16	04:43:05	12611	1.2%	0.0%	1067652	904757	
1	08:13:18	04:43:05	12612	1.2%	0.0%	1067656	904761	
1	08:13:19	04:43:05	12613	1.2%	0.0%	1067659	904764	
1	08:13:20	04:43:05	12615	1.2%	0.5%	1067661	904766	
