 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=7.86 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=59.4 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=33.4 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=26.5 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=28.5 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=5.59 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=4.79 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.334 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.740 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=1.09 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=1.20 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.261 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=1.06 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.642 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.650 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.681 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.373 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.673 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.508 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.530 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.288 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.411 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.378 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.374 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.715 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.534 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.462 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.985 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.474 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.712 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.739 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.320 ms
