status	ctime		rtime		uptime	memoria	cpu	tacc	tkb
1	08:16:42	04:43:05	12817	1.2%	0.0%	1067664	904768	
1	08:16:45	04:43:05	12819	1.3%	56.9%	1073635	909821	
1	08:16:56	04:43:05	12831	1.8%	79.9%	1110064	940643	
