
Memory		Disk		Swap		CPU
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
4.29%		18%		0.0248%		0.00%
