 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=91 ttl=62 time=88.8 ms
64 bytes from 192.168.42.65: icmp_seq=92 ttl=62 time=90.5 ms
64 bytes from 192.168.42.65: icmp_seq=93 ttl=62 time=89.4 ms
64 bytes from 192.168.42.65: icmp_seq=94 ttl=62 time=86.1 ms
64 bytes from 192.168.42.65: icmp_seq=95 ttl=62 time=90.8 ms
64 bytes from 192.168.42.65: icmp_seq=96 ttl=62 time=86.4 ms
64 bytes from 192.168.42.65: icmp_seq=97 ttl=62 time=66.5 ms
64 bytes from 192.168.42.65: icmp_seq=98 ttl=62 time=87.5 ms
64 bytes from 192.168.42.65: icmp_seq=99 ttl=62 time=87.5 ms
64 bytes from 192.168.42.65: icmp_seq=101 ttl=62 time=87.8 ms
64 bytes from 192.168.42.65: icmp_seq=102 ttl=62 time=82.9 ms
64 bytes from 192.168.42.65: icmp_seq=103 ttl=62 time=53.4 ms
64 bytes from 192.168.42.65: icmp_seq=104 ttl=62 time=87.3 ms
64 bytes from 192.168.42.65: icmp_seq=105 ttl=62 time=28.2 ms
64 bytes from 192.168.42.65: icmp_seq=106 ttl=62 time=3.57 ms
64 bytes from 192.168.42.65: icmp_seq=107 ttl=62 time=18.1 ms
64 bytes from 192.168.42.65: icmp_seq=108 ttl=62 time=89.0 ms
64 bytes from 192.168.42.65: icmp_seq=109 ttl=62 time=88.6 ms
64 bytes from 192.168.42.65: icmp_seq=110 ttl=62 time=90.1 ms
64 bytes from 192.168.42.65: icmp_seq=111 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=112 ttl=62 time=84.7 ms
64 bytes from 192.168.42.65: icmp_seq=113 ttl=62 time=86.0 ms
64 bytes from 192.168.42.65: icmp_seq=114 ttl=62 time=90.1 ms
64 bytes from 192.168.42.65: icmp_seq=115 ttl=62 time=89.5 ms
64 bytes from 192.168.42.65: icmp_seq=117 ttl=62 time=89.2 ms
64 bytes from 192.168.42.65: icmp_seq=118 ttl=62 time=88.5 ms
64 bytes from 192.168.42.65: icmp_seq=119 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=120 ttl=62 time=86.4 ms
64 bytes from 192.168.42.65: icmp_seq=122 ttl=62 time=90.4 ms
64 bytes from 192.168.42.65: icmp_seq=123 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=124 ttl=62 time=88.4 ms
64 bytes from 192.168.42.65: icmp_seq=125 ttl=62 time=89.9 ms
64 bytes from 192.168.42.65: icmp_seq=126 ttl=62 time=90.2 ms
64 bytes from 192.168.42.65: icmp_seq=127 ttl=62 time=62.8 ms
64 bytes from 192.168.42.65: icmp_seq=128 ttl=62 time=47.5 ms
64 bytes from 192.168.42.65: icmp_seq=129 ttl=62 time=55.4 ms
64 bytes from 192.168.42.65: icmp_seq=130 ttl=62 time=39.5 ms
64 bytes from 192.168.42.65: icmp_seq=131 ttl=62 time=86.0 ms
64 bytes from 192.168.42.65: icmp_seq=132 ttl=62 time=88.7 ms
64 bytes from 192.168.42.65: icmp_seq=133 ttl=62 time=86.6 ms
64 bytes from 192.168.42.65: icmp_seq=134 ttl=62 time=83.7 ms
64 bytes from 192.168.42.65: icmp_seq=135 ttl=62 time=86.6 ms
64 bytes from 192.168.42.65: icmp_seq=136 ttl=62 time=88.8 ms
64 bytes from 192.168.42.65: icmp_seq=137 ttl=62 time=89.9 ms
64 bytes from 192.168.42.65: icmp_seq=139 ttl=62 time=86.5 ms
64 bytes from 192.168.42.65: icmp_seq=140 ttl=62 time=90.0 ms
64 bytes from 192.168.42.65: icmp_seq=141 ttl=62 time=88.7 ms
64 bytes from 192.168.42.65: icmp_seq=142 ttl=62 time=91.3 ms
64 bytes from 192.168.42.65: icmp_seq=143 ttl=62 time=45.6 ms
64 bytes from 192.168.42.65: icmp_seq=144 ttl=62 time=9.22 ms
64 bytes from 192.168.42.65: icmp_seq=145 ttl=62 time=0.633 ms
64 bytes from 192.168.42.65: icmp_seq=146 ttl=62 time=8.68 ms
64 bytes from 192.168.42.65: icmp_seq=147 ttl=62 time=55.9 ms
64 bytes from 192.168.42.65: icmp_seq=148 ttl=62 time=89.7 ms
64 bytes from 192.168.42.65: icmp_seq=149 ttl=62 time=81.9 ms
64 bytes from 192.168.42.65: icmp_seq=150 ttl=62 time=88.8 ms
64 bytes from 192.168.42.65: icmp_seq=151 ttl=62 time=85.8 ms
64 bytes from 192.168.42.65: icmp_seq=152 ttl=62 time=82.7 ms
64 bytes from 192.168.42.65: icmp_seq=154 ttl=62 time=89.7 ms
64 bytes from 192.168.42.65: icmp_seq=155 ttl=62 time=72.7 ms
64 bytes from 192.168.42.65: icmp_seq=156 ttl=62 time=83.1 ms
64 bytes from 192.168.42.65: icmp_seq=157 ttl=62 time=53.4 ms
64 bytes from 192.168.42.65: icmp_seq=158 ttl=62 time=54.6 ms
64 bytes from 192.168.42.65: icmp_seq=160 ttl=62 time=88.1 ms
64 bytes from 192.168.42.65: icmp_seq=161 ttl=62 time=88.9 ms
64 bytes from 192.168.42.65: icmp_seq=162 ttl=62 time=88.2 ms
64 bytes from 192.168.42.65: icmp_seq=163 ttl=62 time=66.7 ms
64 bytes from 192.168.42.65: icmp_seq=164 ttl=62 time=75.9 ms
64 bytes from 192.168.42.65: icmp_seq=165 ttl=62 time=62.6 ms
64 bytes from 192.168.42.65: icmp_seq=166 ttl=62 time=79.9 ms
64 bytes from 192.168.42.65: icmp_seq=167 ttl=62 time=88.6 ms
64 bytes from 192.168.42.65: icmp_seq=168 ttl=62 time=86.6 ms
64 bytes from 192.168.42.65: icmp_seq=169 ttl=62 time=86.1 ms
64 bytes from 192.168.42.65: icmp_seq=171 ttl=62 time=84.6 ms
64 bytes from 192.168.42.65: icmp_seq=172 ttl=62 time=88.3 ms
64 bytes from 192.168.42.65: icmp_seq=173 ttl=62 time=88.1 ms
64 bytes from 192.168.42.65: icmp_seq=174 ttl=62 time=87.8 ms
64 bytes from 192.168.42.65: icmp_seq=175 ttl=62 time=60.2 ms
64 bytes from 192.168.42.65: icmp_seq=176 ttl=62 time=77.3 ms
64 bytes from 192.168.42.65: icmp_seq=177 ttl=62 time=52.5 ms
64 bytes from 192.168.42.65: icmp_seq=178 ttl=62 time=87.6 ms
64 bytes from 192.168.42.65: icmp_seq=179 ttl=62 time=86.9 ms
64 bytes from 192.168.42.65: icmp_seq=180 ttl=62 time=56.5 ms
64 bytes from 192.168.42.65: icmp_seq=181 ttl=62 time=61.3 ms
64 bytes from 192.168.42.65: icmp_seq=182 ttl=62 time=85.8 ms
64 bytes from 192.168.42.65: icmp_seq=183 ttl=62 time=75.4 ms
64 bytes from 192.168.42.65: icmp_seq=184 ttl=62 time=88.8 ms
64 bytes from 192.168.42.65: icmp_seq=185 ttl=62 time=88.3 ms
64 bytes from 192.168.42.65: icmp_seq=186 ttl=62 time=85.9 ms
64 bytes from 192.168.42.65: icmp_seq=187 ttl=62 time=64.1 ms
64 bytes from 192.168.42.65: icmp_seq=188 ttl=62 time=47.2 ms
64 bytes from 192.168.42.65: icmp_seq=189 ttl=62 time=44.8 ms
64 bytes from 192.168.42.65: icmp_seq=190 ttl=62 time=20.7 ms
64 bytes from 192.168.42.65: icmp_seq=191 ttl=62 time=88.9 ms
64 bytes from 192.168.42.65: icmp_seq=192 ttl=62 time=85.1 ms
64 bytes from 192.168.42.65: icmp_seq=193 ttl=62 time=86.3 ms
64 bytes from 192.168.42.65: icmp_seq=194 ttl=62 time=87.3 ms
64 bytes from 192.168.42.65: icmp_seq=195 ttl=62 time=73.0 ms
64 bytes from 192.168.42.65: icmp_seq=196 ttl=62 time=51.0 ms
64 bytes from 192.168.42.65: icmp_seq=197 ttl=62 time=36.9 ms
64 bytes from 192.168.42.65: icmp_seq=198 ttl=62 time=49.3 ms
64 bytes from 192.168.42.65: icmp_seq=199 ttl=62 time=87.0 ms
64 bytes from 192.168.42.65: icmp_seq=200 ttl=62 time=86.4 ms
64 bytes from 192.168.42.65: icmp_seq=201 ttl=62 time=81.2 ms
64 bytes from 192.168.42.65: icmp_seq=202 ttl=62 time=88.2 ms
64 bytes from 192.168.42.65: icmp_seq=203 ttl=62 time=73.6 ms
64 bytes from 192.168.42.65: icmp_seq=204 ttl=62 time=76.5 ms
64 bytes from 192.168.42.65: icmp_seq=205 ttl=62 time=55.0 ms
64 bytes from 192.168.42.65: icmp_seq=206 ttl=62 time=89.2 ms
64 bytes from 192.168.42.65: icmp_seq=208 ttl=62 time=88.4 ms
64 bytes from 192.168.42.65: icmp_seq=209 ttl=62 time=88.6 ms
64 bytes from 192.168.42.65: icmp_seq=210 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=211 ttl=62 time=81.6 ms
64 bytes from 192.168.42.65: icmp_seq=212 ttl=62 time=55.8 ms
64 bytes from 192.168.42.65: icmp_seq=213 ttl=62 time=48.4 ms
64 bytes from 192.168.42.65: icmp_seq=214 ttl=62 time=6.71 ms
