 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=82 ttl=62 time=0.512 ms
64 bytes from 192.168.42.65: icmp_seq=83 ttl=62 time=0.274 ms
64 bytes from 192.168.42.65: icmp_seq=84 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=85 ttl=62 time=0.566 ms
64 bytes from 192.168.42.65: icmp_seq=86 ttl=62 time=0.226 ms
64 bytes from 192.168.42.65: icmp_seq=87 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=88 ttl=62 time=0.620 ms
64 bytes from 192.168.42.65: icmp_seq=89 ttl=62 time=0.482 ms
64 bytes from 192.168.42.65: icmp_seq=90 ttl=62 time=0.331 ms
64 bytes from 192.168.42.65: icmp_seq=91 ttl=62 time=0.333 ms
64 bytes from 192.168.42.65: icmp_seq=92 ttl=62 time=0.459 ms
64 bytes from 192.168.42.65: icmp_seq=93 ttl=62 time=0.375 ms
64 bytes from 192.168.42.65: icmp_seq=94 ttl=62 time=0.292 ms
64 bytes from 192.168.42.65: icmp_seq=95 ttl=62 time=0.266 ms
64 bytes from 192.168.42.65: icmp_seq=96 ttl=62 time=0.540 ms
64 bytes from 192.168.42.65: icmp_seq=97 ttl=62 time=0.505 ms
64 bytes from 192.168.42.65: icmp_seq=98 ttl=62 time=0.406 ms
64 bytes from 192.168.42.65: icmp_seq=99 ttl=62 time=0.485 ms
64 bytes from 192.168.42.65: icmp_seq=100 ttl=62 time=0.270 ms
64 bytes from 192.168.42.65: icmp_seq=101 ttl=62 time=0.241 ms
64 bytes from 192.168.42.65: icmp_seq=102 ttl=62 time=0.344 ms
64 bytes from 192.168.42.65: icmp_seq=103 ttl=62 time=0.345 ms
64 bytes from 192.168.42.65: icmp_seq=104 ttl=62 time=0.604 ms
64 bytes from 192.168.42.65: icmp_seq=105 ttl=62 time=0.585 ms
64 bytes from 192.168.42.65: icmp_seq=106 ttl=62 time=0.547 ms
64 bytes from 192.168.42.65: icmp_seq=107 ttl=62 time=0.461 ms
64 bytes from 192.168.42.65: icmp_seq=108 ttl=62 time=0.457 ms
64 bytes from 192.168.42.65: icmp_seq=109 ttl=62 time=0.302 ms
64 bytes from 192.168.42.65: icmp_seq=110 ttl=62 time=0.395 ms
64 bytes from 192.168.42.65: icmp_seq=111 ttl=62 time=0.362 ms
64 bytes from 192.168.42.65: icmp_seq=112 ttl=62 time=0.490 ms
64 bytes from 192.168.42.65: icmp_seq=113 ttl=62 time=0.433 ms
64 bytes from 192.168.42.65: icmp_seq=114 ttl=62 time=0.217 ms
64 bytes from 192.168.42.65: icmp_seq=115 ttl=62 time=0.375 ms
64 bytes from 192.168.42.65: icmp_seq=116 ttl=62 time=0.272 ms
64 bytes from 192.168.42.65: icmp_seq=117 ttl=62 time=0.582 ms
64 bytes from 192.168.42.65: icmp_seq=118 ttl=62 time=0.510 ms
64 bytes from 192.168.42.65: icmp_seq=119 ttl=62 time=0.541 ms
64 bytes from 192.168.42.65: icmp_seq=120 ttl=62 time=0.665 ms
64 bytes from 192.168.42.65: icmp_seq=121 ttl=62 time=0.202 ms
64 bytes from 192.168.42.65: icmp_seq=122 ttl=62 time=0.418 ms
64 bytes from 192.168.42.65: icmp_seq=123 ttl=62 time=0.509 ms
64 bytes from 192.168.42.65: icmp_seq=124 ttl=62 time=0.363 ms
64 bytes from 192.168.42.65: icmp_seq=125 ttl=62 time=0.235 ms
64 bytes from 192.168.42.65: icmp_seq=126 ttl=62 time=0.648 ms
64 bytes from 192.168.42.65: icmp_seq=127 ttl=62 time=0.288 ms
64 bytes from 192.168.42.65: icmp_seq=128 ttl=62 time=0.640 ms
64 bytes from 192.168.42.65: icmp_seq=129 ttl=62 time=0.231 ms
64 bytes from 192.168.42.65: icmp_seq=130 ttl=62 time=0.478 ms
64 bytes from 192.168.42.65: icmp_seq=131 ttl=62 time=0.221 ms
64 bytes from 192.168.42.65: icmp_seq=132 ttl=62 time=0.282 ms
64 bytes from 192.168.42.65: icmp_seq=133 ttl=62 time=0.271 ms
64 bytes from 192.168.42.65: icmp_seq=134 ttl=62 time=0.315 ms
64 bytes from 192.168.42.65: icmp_seq=135 ttl=62 time=0.448 ms
64 bytes from 192.168.42.65: icmp_seq=136 ttl=62 time=0.570 ms
64 bytes from 192.168.42.65: icmp_seq=137 ttl=62 time=0.265 ms
64 bytes from 192.168.42.65: icmp_seq=138 ttl=62 time=0.282 ms
64 bytes from 192.168.42.65: icmp_seq=139 ttl=62 time=0.273 ms
64 bytes from 192.168.42.65: icmp_seq=140 ttl=62 time=0.214 ms
64 bytes from 192.168.42.65: icmp_seq=141 ttl=62 time=0.321 ms
64 bytes from 192.168.42.65: icmp_seq=142 ttl=62 time=0.270 ms
64 bytes from 192.168.42.65: icmp_seq=143 ttl=62 time=0.560 ms
64 bytes from 192.168.42.65: icmp_seq=144 ttl=62 time=0.365 ms
64 bytes from 192.168.42.65: icmp_seq=145 ttl=62 time=0.510 ms
64 bytes from 192.168.42.65: icmp_seq=146 ttl=62 time=0.375 ms
64 bytes from 192.168.42.65: icmp_seq=147 ttl=62 time=0.264 ms
64 bytes from 192.168.42.65: icmp_seq=148 ttl=62 time=0.225 ms
64 bytes from 192.168.42.65: icmp_seq=149 ttl=62 time=0.680 ms
64 bytes from 192.168.42.65: icmp_seq=150 ttl=62 time=0.256 ms
64 bytes from 192.168.42.65: icmp_seq=151 ttl=62 time=0.525 ms
64 bytes from 192.168.42.65: icmp_seq=152 ttl=62 time=0.354 ms
64 bytes from 192.168.42.65: icmp_seq=153 ttl=62 time=0.414 ms
64 bytes from 192.168.42.65: icmp_seq=154 ttl=62 time=0.416 ms
64 bytes from 192.168.42.65: icmp_seq=155 ttl=62 time=0.264 ms
64 bytes from 192.168.42.65: icmp_seq=156 ttl=62 time=0.577 ms
64 bytes from 192.168.42.65: icmp_seq=157 ttl=62 time=0.272 ms
64 bytes from 192.168.42.65: icmp_seq=158 ttl=62 time=0.419 ms
64 bytes from 192.168.42.65: icmp_seq=159 ttl=62 time=0.269 ms
64 bytes from 192.168.42.65: icmp_seq=160 ttl=62 time=0.373 ms
64 bytes from 192.168.42.65: icmp_seq=161 ttl=62 time=0.381 ms
64 bytes from 192.168.42.65: icmp_seq=162 ttl=62 time=0.391 ms
64 bytes from 192.168.42.65: icmp_seq=163 ttl=62 time=0.300 ms
64 bytes from 192.168.42.65: icmp_seq=164 ttl=62 time=0.421 ms
64 bytes from 192.168.42.65: icmp_seq=165 ttl=62 time=0.683 ms
64 bytes from 192.168.42.65: icmp_seq=166 ttl=62 time=0.347 ms
64 bytes from 192.168.42.65: icmp_seq=167 ttl=62 time=0.701 ms
64 bytes from 192.168.42.65: icmp_seq=168 ttl=62 time=0.342 ms
64 bytes from 192.168.42.65: icmp_seq=169 ttl=62 time=0.242 ms
64 bytes from 192.168.42.65: icmp_seq=170 ttl=62 time=0.342 ms
64 bytes from 192.168.42.65: icmp_seq=171 ttl=62 time=0.549 ms
64 bytes from 192.168.42.65: icmp_seq=172 ttl=62 time=0.257 ms
64 bytes from 192.168.42.65: icmp_seq=173 ttl=62 time=0.278 ms
64 bytes from 192.168.42.65: icmp_seq=174 ttl=62 time=0.679 ms
64 bytes from 192.168.42.65: icmp_seq=175 ttl=62 time=0.402 ms
64 bytes from 192.168.42.65: icmp_seq=176 ttl=62 time=0.282 ms
64 bytes from 192.168.42.65: icmp_seq=177 ttl=62 time=0.286 ms
64 bytes from 192.168.42.65: icmp_seq=178 ttl=62 time=0.319 ms
64 bytes from 192.168.42.65: icmp_seq=179 ttl=62 time=0.524 ms
64 bytes from 192.168.42.65: icmp_seq=180 ttl=62 time=0.277 ms
64 bytes from 192.168.42.65: icmp_seq=181 ttl=62 time=0.325 ms
64 bytes from 192.168.42.65: icmp_seq=182 ttl=62 time=0.293 ms
64 bytes from 192.168.42.65: icmp_seq=183 ttl=62 time=0.246 ms
64 bytes from 192.168.42.65: icmp_seq=184 ttl=62 time=0.233 ms
