"memory","disk","swap","cpu"
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.69%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.84%,12%,0.0248%,1.00%
3.79%,12%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.69%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.69%,13%,0.0248%,1.00%
3.74%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.84%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
3.79%,13%,0.0248%,1.00%
