"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,36,43:05,8491,0.9%,0.0%,399457,337958
1,38,43:05,8493,0.9%,0.0%,399460,337961
1,40,43:05,8495,0.9%,0.0%,399464,337965
1,42,43:05,8496,0.9%,0.0%,399467,337968
1,43,43:05,8498,0.9%,0.0%,399471,337972
1,45,43:05,8500,0.9%,0.0%,399474,337975
1,47,43:05,8502,0.9%,0.0%,399478,337978
1,49,43:05,8503,0.9%,0.0%,399481,337982
1,50,43:05,8505,0.9%,0.0%,399484,337985
1,52,43:05,8507,0.9%,0.0%,399488,337988
1,54,43:05,8508,0.9%,0.0%,399491,337991
1,55,43:05,8510,0.9%,0.0%,399495,337995
1,57,43:05,8512,0.9%,0.0%,399498,337998
1,59,43:05,8514,0.9%,0.0%,399502,338002
1,05:01,43:05,8515,0.9%,0.0%,399505,338005
1,05:02,43:05,8517,0.9%,0.0%,399509,338008
1,05:04,43:05,8519,0.9%,0.5%,399512,338011
1,05:06,43:05,8521,0.9%,0.0%,399516,338015
1,05:08,43:05,8522,0.9%,0.0%,399519,338018
1,05:09,43:05,8524,0.9%,0.0%,399523,338022
1,05:11,43:05,8526,0.9%,0.5%,399526,338025
1,05:13,43:05,8527,0.9%,0.0%,399529,338028
1,05:14,43:05,8529,0.9%,0.0%,399533,338032
1,05:16,43:05,8531,0.9%,0.0%,399537,338035
1,05:18,43:05,8533,0.9%,0.0%,399540,338038
1,05:20,43:05,8535,0.9%,0.0%,399544,338042
1,05:22,43:05,8536,0.9%,0.0%,399547,338045
1,05:23,43:05,8538,0.9%,0.0%,399551,338049
1,05:25,43:05,8540,0.9%,0.0%,399554,338052
1,05:27,43:05,8542,0.9%,0.5%,399558,338055
1,05:29,43:05,8544,0.9%,0.0%,399561,338059
1,05:31,43:05,8545,0.9%,0.0%,399565,338062
1,05:32,43:05,8547,0.9%,0.5%,399568,338065
1,05:34,43:05,8549,0.9%,0.0%,399572,338069
1,05:36,43:05,8551,0.9%,0.5%,399575,338072
1,05:38,43:05,8553,0.9%,0.4%,399579,338076
1,05:40,43:05,8554,0.9%,0.0%,399583,338080
1,05:42,43:05,8556,0.9%,0.0%,399586,338082
1,05:43,43:05,8558,0.9%,0.0%,399589,338085
1,05:45,43:05,8560,0.9%,0.0%,399593,338089
1,05:47,43:05,8562,0.9%,0.0%,399597,338093
1,05:49,43:05,8564,0.9%,0.5%,399601,338097
1,05:51,43:05,8566,0.9%,0.0%,399605,338101
1,05:53,43:05,8568,0.9%,0.0%,399607,338103
1,05:55,43:05,8570,0.9%,0.0%,399611,338106
1,05:57,43:05,8571,0.9%,0.0%,399614,338109
1,05:59,43:05,8573,0.9%,0.0%,399618,338113
1,06:01,43:05,8575,0.9%,0.0%,399622,338117
1,06:02,43:05,8577,0.9%,0.5%,399625,338120
1,06:04,43:05,8579,0.9%,0.0%,399629,338123
1,06:06,43:05,8581,0.9%,0.0%,399632,338126
1,06:08,43:05,8583,0.9%,0.0%,399636,338130
1,06:10,43:05,8585,0.9%,0.0%,399639,338133
1,06:12,43:05,8586,0.9%,0.5%,399643,338137
1,06:14,43:05,8588,0.9%,0.0%,399646,338140
1,06:16,43:05,8590,0.9%,0.0%,399650,338143
1,06:18,43:05,8592,0.9%,0.5%,399654,338147
1,06:19,43:05,8594,0.9%,0.0%,399657,338150
1,06:21,43:05,8596,0.9%,0.0%,399661,338154
1,06:23,43:05,8598,0.9%,0.0%,399664,338157
1,06:25,43:05,8600,0.9%,0.5%,399668,338160
1,06:27,43:05,8602,0.9%,0.0%,399671,338164
1,06:29,43:05,8604,0.9%,0.5%,399675,338167
1,06:31,43:05,8606,0.9%,0.0%,399679,338171
1,06:33,43:05,8608,0.9%,0.0%,399682,338174
1,06:35,43:05,8609,0.9%,0.0%,399686,338178
1,06:36,43:05,8611,0.9%,0.0%,399689,338181
1,06:38,43:05,8613,0.9%,0.0%,399693,338184
1,06:40,43:05,8615,0.9%,0.5%,399696,338187
1,06:42,43:05,8616,0.9%,0.0%,399700,338191
1,06:43,43:05,8618,0.9%,0.5%,399703,338194
1,06:45,43:05,8620,0.9%,0.0%,399707,338198
1,06:47,43:05,8622,0.9%,0.0%,399710,338201
1,06:49,43:05,8624,0.9%,0.0%,399713,338204
1,06:51,43:05,8626,0.9%,0.0%,399717,338208
1,06:53,43:05,8627,0.9%,0.0%,399721,338211
1,06:55,43:05,8629,0.9%,0.0%,399724,338214
1,06:56,43:05,8631,0.9%,0.0%,399728,338218
1,06:58,43:05,8633,0.9%,0.5%,399731,338221
1,00,43:05,8635,0.9%,0.0%,399735,338225
1,02,43:05,8637,0.9%,0.0%,399739,338228
1,04,43:05,8639,0.9%,0.0%,399742,338231
1,06,43:05,8640,0.9%,0.0%,399746,338235
1,08,43:05,8642,0.9%,0.0%,399751,338240
1,09,43:05,8644,0.9%,0.0%,399754,338243
1,11,43:05,8646,0.9%,0.0%,399758,338247
1,13,43:05,8648,0.9%,0.0%,399761,338250
1,15,43:05,8649,0.9%,0.0%,399765,338253
1,16,43:05,8651,0.9%,0.0%,399768,338256
1,18,43:05,8653,0.9%,0.0%,399772,338260
1,20,43:05,8655,0.9%,0.5%,399775,338263
1,22,43:05,8656,0.9%,0.0%,399779,338267
1,23,43:05,8658,0.9%,0.0%,399782,338270
1,25,43:05,8660,0.9%,0.5%,399786,338273
1,27,43:05,8662,0.9%,0.0%,399789,338277
1,28,43:05,8663,0.9%,0.0%,399792,338280
1,30,43:05,8665,0.9%,0.0%,399796,338283
1,32,43:05,8667,0.9%,0.0%,399799,338286
1,34,43:05,8669,0.9%,0.5%,399803,338290
1,36,43:05,8670,0.9%,0.0%,399807,338294
1,37,43:05,8672,0.9%,0.5%,399810,338297
1,39,43:05,8674,0.9%,0.0%,399813,338300
1,41,43:05,8676,0.9%,0.0%,399817,338303
1,43,43:05,8678,0.9%,0.0%,399821,338307
1,45,43:05,8679,0.9%,0.0%,399824,338310
1,46,43:05,8681,0.9%,0.0%,399828,338314
1,48,43:05,8683,0.9%,0.5%,399831,338317
1,50,43:05,8685,0.9%,0.0%,399835,338321
1,52,43:05,8686,0.9%,0.0%,399838,338324
1,53,43:05,8688,0.9%,0.0%,399841,338327
1,55,43:05,8690,0.9%,0.0%,399845,338330
1,57,43:05,8692,0.9%,0.0%,399849,338334
1,59,43:05,8693,0.9%,0.0%,399852,338337
1,08:00,43:05,8695,0.9%,0.0%,399855,338340
1,08:02,43:05,8697,0.9%,0.0%,399859,338344
1,08:04,43:05,8699,0.9%,0.0%,399862,338347
1,08:06,43:05,8701,0.9%,0.0%,399866,338351
1,08:08,43:05,8702,0.9%,0.0%,399869,338354
1,08:09,43:05,8704,0.9%,0.0%,399873,338357
1,08:11,43:05,8706,0.9%,0.0%,399876,338360
