 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.306 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=0.255 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=52.9 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.249 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.306 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.311 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.380 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.411 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.356 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.364 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.442 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.445 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.405 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.443 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.395 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.506 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.473 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.577 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.516 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.795 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.413 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.707 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.592 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.593 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.704 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.479 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.460 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.688 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.898 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.620 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.656 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=0.416 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=0.632 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=0.341 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=0.344 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=0.432 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=0.782 ms
64 bytes from 192.168.42.65: icmp_seq=40 ttl=62 time=0.458 ms
64 bytes from 192.168.42.65: icmp_seq=41 ttl=62 time=0.431 ms
64 bytes from 192.168.42.65: icmp_seq=42 ttl=62 time=0.429 ms
64 bytes from 192.168.42.65: icmp_seq=43 ttl=62 time=0.431 ms
64 bytes from 192.168.42.65: icmp_seq=44 ttl=62 time=0.430 ms
64 bytes from 192.168.42.65: icmp_seq=45 ttl=62 time=0.414 ms
64 bytes from 192.168.42.65: icmp_seq=46 ttl=62 time=0.345 ms
64 bytes from 192.168.42.65: icmp_seq=47 ttl=62 time=0.421 ms
64 bytes from 192.168.42.65: icmp_seq=48 ttl=62 time=0.434 ms
64 bytes from 192.168.42.65: icmp_seq=49 ttl=62 time=0.384 ms
