 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.349 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=0.301 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=0.534 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.408 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.308 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.296 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.709 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.584 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.240 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.341 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.580 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.563 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.608 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.622 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.625 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.256 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.561 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.264 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.676 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.600 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.552 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.557 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.715 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.256 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.663 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.305 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.637 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.371 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.590 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.660 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.691 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.452 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=0.309 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=0.353 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=0.283 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=0.272 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=0.189 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=0.412 ms
64 bytes from 192.168.42.65: icmp_seq=40 ttl=62 time=0.735 ms
64 bytes from 192.168.42.65: icmp_seq=41 ttl=62 time=0.644 ms
64 bytes from 192.168.42.65: icmp_seq=42 ttl=62 time=0.590 ms
64 bytes from 192.168.42.65: icmp_seq=43 ttl=62 time=0.613 ms
64 bytes from 192.168.42.65: icmp_seq=44 ttl=62 time=0.390 ms
