"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,16:39,43:05,9214,0.9%,0.0%,400427,338889
1,16:41,43:05,9216,0.9%,0.0%,400430,338892
1,16:43,43:05,9218,0.9%,0.0%,400434,338895
1,16:45,43:05,9220,0.9%,0.5%,400438,338899
1,16:47,43:05,9222,0.9%,0.0%,400441,338902
1,16:49,43:05,9224,0.9%,0.0%,400445,338906
1,16:51,43:05,9226,0.9%,0.0%,400448,338909
1,16:53,43:05,9228,0.9%,0.0%,400452,338913
1,16:55,43:05,9230,0.9%,0.0%,400456,338916
1,16:57,43:05,9232,0.9%,0.0%,400459,338919
1,16:59,43:05,9234,0.9%,0.0%,400463,338923
1,17:01,43:05,9236,0.9%,0.0%,400466,338926
1,17:03,43:05,9238,0.9%,0.0%,400470,338930
1,17:05,43:05,9239,0.9%,0.0%,400473,338933
1,17:07,43:05,9241,0.9%,0.0%,400477,338936
1,17:08,43:05,9243,0.9%,0.0%,400481,338940
1,17:10,43:05,9245,0.9%,0.0%,400484,338943
1,17:12,43:05,9247,0.9%,0.5%,400488,338947
1,17:14,43:05,9249,0.9%,0.5%,400491,338950
1,17:16,43:05,9250,0.9%,0.0%,400495,338953
1,17:18,43:05,9252,0.9%,0.0%,400498,338956
1,17:19,43:05,9254,0.9%,0.0%,400502,338960
1,17:21,43:05,9256,0.9%,0.0%,400505,338963
1,17:23,43:05,9258,0.9%,0.5%,400509,338967
1,17:25,43:05,9259,0.9%,0.0%,400512,338970
1,17:26,43:05,9261,0.9%,0.0%,400516,338974
1,17:28,43:05,9263,0.9%,0.0%,400519,338977
1,17:30,43:05,9265,0.9%,0.0%,400522,338980
1,17:32,43:05,9266,0.9%,0.0%,400526,338983
1,17:33,43:05,9268,0.9%,0.5%,400530,338987
1,17:35,43:05,9270,0.9%,0.0%,400533,338990
1,17:37,43:05,9272,0.9%,0.0%,400537,338994
1,17:39,43:05,9274,0.9%,0.5%,400540,338997
1,17:41,43:05,9276,0.9%,0.0%,400544,339000
1,17:43,43:05,9277,0.9%,0.0%,400547,339004
1,17:44,43:05,9279,0.9%,0.5%,400551,339007
1,17:46,43:05,9281,0.9%,0.0%,400554,339010
1,17:48,43:05,9283,0.9%,0.0%,400558,339014
1,17:50,43:05,9284,0.9%,0.0%,400561,339017
1,17:51,43:05,9286,0.9%,0.0%,400564,339020
1,17:53,43:05,9288,0.9%,0.4%,400568,339024
1,17:55,43:05,9290,0.9%,0.0%,400572,339027
1,17:57,43:05,9291,0.9%,0.0%,400575,339030
