"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,40:38,43:05,10653,1.2%,0.0%,970814,822611
1,40:40,43:05,10655,1.2%,0.5%,970817,822614
1,40:42,43:05,10657,1.2%,0.5%,970821,822618
1,40:44,43:05,10659,1.2%,0.0%,970825,822621
1,40:46,43:05,10661,1.2%,0.0%,970828,822624
1,40:48,43:05,10662,1.2%,0.0%,970831,822627
1,40:50,43:05,10664,1.2%,0.0%,970835,822631
1,40:52,43:05,10667,1.2%,0.0%,970839,822635
1,40:54,43:05,10668,1.2%,0.0%,970842,822638
1,40:56,43:05,10670,1.2%,0.0%,970846,822642
1,40:58,43:05,10672,1.2%,0.0%,970849,822645
1,40:59,43:05,10674,1.2%,0.0%,970853,822648
1,41:01,43:05,10676,1.2%,0.0%,970856,822651
1,41:03,43:05,10678,1.2%,0.0%,970860,822655
1,41:05,43:05,10680,1.2%,0.0%,970863,822658
1,41:07,43:05,10682,1.2%,1.5%,970867,822662
1,41:09,43:05,10684,1.2%,0.0%,970870,822665
1,41:11,43:05,10686,0.0%,0.0%,970874,822668
1,41:13,43:05,10687,1.2%,0.0%,970877,822671
1,41:14,43:05,10689,1.2%,0.5%,970881,822675
1,41:16,43:05,10691,1.2%,0.0%,970884,822678
1,41:18,43:05,10693,1.2%,0.5%,970888,822682
1,41:20,43:05,10695,0.0%,0.0%,970892,822686
1,41:22,43:05,10696,1.2%,0.0%,970895,822689
1,41:23,43:05,10698,1.2%,0.0%,970898,822692
1,41:25,43:05,10700,1.2%,0.0%,970902,822695
1,41:27,43:05,10702,1.2%,0.0%,970906,822699
1,41:29,43:05,10704,1.2%,0.0%,970909,822702
1,41:31,43:05,10705,1.2%,0.5%,970913,822706
1,41:32,43:05,10707,1.2%,0.0%,970916,822709
1,41:34,43:05,10709,1.2%,0.0%,970920,822712
1,41:36,43:05,10711,1.2%,0.0%,970923,822716
1,41:38,43:05,10713,1.2%,0.0%,970927,822719
1,41:40,43:05,10715,1.2%,0.0%,970930,822722
1,41:42,43:05,10716,1.2%,0.9%,970934,822726
1,41:44,43:05,10718,1.2%,0.5%,970937,822729
1,41:45,43:05,10720,1.2%,0.0%,970941,822733
1,41:47,43:05,10722,1.2%,0.5%,970944,822736
1,41:49,43:05,10724,1.2%,0.0%,970948,822739
1,41:51,43:05,10726,1.2%,0.0%,970952,822743
1,41:53,43:05,10728,1.2%,0.5%,970955,822746
1,41:55,43:05,10729,1.2%,0.0%,970959,822750
