 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.332 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=0.190 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=0.264 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.269 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.402 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.284 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.260 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.287 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.340 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.290 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.280 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.344 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.293 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.302 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.328 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.311 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.314 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.348 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.315 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.312 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.314 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.320 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.316 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.312 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.320 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.348 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.331 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.307 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.450 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.370 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=0.472 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=0.322 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=0.327 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=0.306 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=0.322 ms
64 bytes from 192.168.42.65: icmp_seq=40 ttl=62 time=0.372 ms
64 bytes from 192.168.42.65: icmp_seq=41 ttl=62 time=0.323 ms
64 bytes from 192.168.42.65: icmp_seq=42 ttl=62 time=0.393 ms
64 bytes from 192.168.42.65: icmp_seq=43 ttl=62 time=0.361 ms
64 bytes from 192.168.42.65: icmp_seq=44 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=45 ttl=62 time=0.346 ms
64 bytes from 192.168.42.65: icmp_seq=46 ttl=62 time=0.308 ms
64 bytes from 192.168.42.65: icmp_seq=47 ttl=62 time=0.340 ms
64 bytes from 192.168.42.65: icmp_seq=48 ttl=62 time=0.328 ms
64 bytes from 192.168.42.65: icmp_seq=49 ttl=62 time=0.375 ms
64 bytes from 192.168.42.65: icmp_seq=50 ttl=62 time=0.392 ms
64 bytes from 192.168.42.65: icmp_seq=51 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=52 ttl=62 time=0.325 ms
64 bytes from 192.168.42.65: icmp_seq=53 ttl=62 time=0.322 ms
64 bytes from 192.168.42.65: icmp_seq=54 ttl=62 time=0.648 ms
64 bytes from 192.168.42.65: icmp_seq=55 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=56 ttl=62 time=0.336 ms
64 bytes from 192.168.42.65: icmp_seq=57 ttl=62 time=0.318 ms
